keyword,category,type,frequency
청와대,전체,OG,102
트럼프,전체,PS,86
우리은행,전체,OG,72
창원시,전체,OG,72
러시아,전체,LC,61
유니클로,전체,OG,59
김대중,전체,PS,57
한국당,전체,OG,57
문재인,전체,PS,49
삼성전자,전체,OG,49
강원도,전체,OG,47
페이스북,전체,OG,44
백악관,전체,OG,42
호반건설,전체,OG,41
이월드,전체,OG,39
CJ그룹,전체,OG,37
더불어민주당,전체,OG,37
대한항공,전체,OG,35
SK그룹,전체,OG,34
경기도,전체,OG,34
화웨이,전체,OG,34
광주시,전체,OG,33
신한은행,전체,OG,32
행정부,전체,OG,32
SK텔레콤,전체,OG,31
대전시,전체,OG,31
서울시,전체,OG,31
제주시,전체,OG,31
페덱스,전체,OG,31
이마트,전체,OG,30
프랑스,전체,LC,30
중국 정부,전체,OG,29
산업통상자원부,전체,OG,28
한국은행,전체,OG,28
CJ대한통운,전체,OG,27
금융감독원,전체,OG,27
토트넘,전체,OG,27
기상청,전체,OG,24
메이저리그,전체,OG,24
아시아,전체,LC,24
한반도,전체,LC,24
LG유플러스,전체,OG,23
LG전자,전체,OG,23
제주도,전체,OG,23
베트남,전체,LC,22
이탈리아,전체,LC,22
캄보디아,전체,LC,22
할리우드,전체,LC,22
근로복지공단,전체,OG,21
그리스,전체,LC,20